Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,order date (DateOrders)
3,4,91.25,314.6400146,Advance shipping,0,73,Sporting Goods,Caguas,1/31/2018 22:56
5,4,-249.0899963,311.3599854,Late delivery,1,73,Sporting Goods,Caguas,1/13/2018 12:27
4,4,-247.7799988,309.7200012,Shipping on time,0,73,Sporting Goods,San Jose,1/13/2018 12:06
3,4,22.86000061,304.8099976,Advance shipping,0,73,Sporting Goods,Los Angeles,1/13/2018 11:45
2,4,134.2100067,298.25,Advance shipping,0,73,Sporting Goods,Caguas,1/13/2018 11:24
6,4,18.57999992,294.980011,Shipping canceled,0,73,Sporting Goods,Tonawanda,1/13/2018 11:03
2,1,95.18000031,288.4200134,Late delivery,1,73,Sporting Goods,Caguas,1/13/2018 10:42
2,1,68.43000031,285.1400146,Late delivery,1,73,Sporting Goods,Miami,1/13/2018 10:21
3,2,133.7200012,278.5899963,Late delivery,1,73,Sporting Goods,Caguas,1/13/2018 10:00
2,1,132.1499939,275.3099976,Late delivery,1,73,Sporting Goods,San Ramon,1/13/2018 9:39
6,2,130.5800018,272.0299988,Shipping canceled,0,73,Sporting Goods,Caguas,1/13/2018 9:18
5,2,45.68999863,268.7600098,Late delivery,1,73,Sporting Goods,Freeport,1/13/2018 8:57
4,2,21.76000023,262.2000122,Late delivery,1,73,Sporting Goods,Salinas,1/13/2018 8:36
2,1,24.57999992,245.8099976,Late delivery,1,73,Sporting Goods,Caguas,1/13/2018 8:15
2,1,16.38999939,327.75,Late delivery,1,73,Sporting Goods,Peabody,1/13/2018 7:54
2,1,-259.5799866,324.4700012,Late delivery,1,73,Sporting Goods,Caguas,1/13/2018 7:33
5,2,-246.3600006,321.2000122,Late delivery,1,73,Sporting Goods,Canovanas,1/13/2018 7:12
2,1,23.84000015,317.9200134,Late delivery,1,73,Sporting Goods,Paramount,1/13/2018 6:51
2,1,102.2600021,314.6400146,Late delivery,1,73,Sporting Goods,Caguas,1/13/2018 6:30
0,0,87.18000031,311.3599854,Shipping on time,0,73,Sporting Goods,Mount Prospect,1/13/2018 6:09
0,0,154.8600006,309.7200012,Shipping on time,0,73,Sporting Goods,Long Beach,1/13/2018 5:48
5,4,82.30000305,304.8099976,Late delivery,1,73,Sporting Goods,Caguas,1/13/2018 5:27
4,2,22.37000084,298.25,Late delivery,1,73,Sporting Goods,Rancho Cordova,1/13/2018 5:06
3,2,17.70000076,294.980011,Shipping canceled,0,73,Sporting Goods,Caguas,1/13/2018 4:45
2,2,90.27999878,288.4200134,Shipping canceled,0,73,Sporting Goods,Billings,1/13/2018 4:24
6,2,131.1699982,285.1400146,Late delivery,1,73,Sporting Goods,Caguas,1/13/2018 4:03
5,2,90.54000092,278.5899963,Late delivery,1,73,Sporting Goods,Wilkes Barre,1/13/2018 3:42
4,4,82.58999634,275.3099976,Shipping on time,0,73,Sporting Goods,Caguas,1/13/2018 3:21
3,4,-17.13999939,272.0299988,Advance shipping,0,73,Sporting Goods,Roseville,1/13/2018 3:00
2,4,23.64999962,268.7600098,Advance shipping,0,73,Sporting Goods,Bellflower,1/13/2018 2:39
6,4,73.41999817,262.2000122,Late delivery,1,73,Sporting Goods,Caguas,1/13/2018 2:18
5,4,113.0699997,245.8099976,Late delivery,1,73,Sporting Goods,Wheaton,1/13/2018 1:57
4,4,24.57999992,327.75,Shipping on time,0,73,Sporting Goods,Caguas,1/13/2018 1:36
2,1,-97.33999634,324.4700012,Late delivery,1,73,Sporting Goods,Detroit,1/13/2018 1:15
2,1,-425.5799866,321.2000122,Late delivery,1,73,Sporting Goods,Dallas,1/13/2018 0:54
2,1,152.6000061,317.9200134,Late delivery,1,73,Sporting Goods,Caguas,1/13/2018 0:33
2,1,151.0299988,314.6400146,Late delivery,1,73,Sporting Goods,Carlisle,1/13/2018 0:12
2,1,62.27000046,311.3599854,Late delivery,1,73,Sporting Goods,Dallas,01-12-2018 23:51
1,0,35,309.7200012,Late delivery,1,73,Sporting Goods,Caguas,01-12-2018 23:30
