order_date,daily_sales
01-01-2015 00:00,239.98
01-01-2015 00:21,529.38
01-01-2015 01:03,620.87
01-01-2015 01:24,987.07
01-01-2015 02:06,525.52
01-01-2015 02:27,587.77
01-01-2015 02:48,587.96
01-01-2015 03:09,525.77
01-01-2015 03:30,846.8
01-01-2015 03:51,1196.38
01-01-2015 04:12,102.37
01-01-2015 04:33,462.95
01-01-2015 04:54,773.89
01-01-2015 05:15,351.54
01-01-2015 05:36,573.13
01-01-2015 05:57,394.46
01-01-2015 06:18,596.96
01-01-2015 06:39,762.53
01-01-2015 07:00,308.89
01-01-2015 07:42,263.98
01-01-2015 08:03,738.47
01-01-2015 08:24,339.98
01-01-2015 09:06,648.47
01-01-2015 09:27,1052.1
01-01-2015 09:48,1003.56
01-01-2015 10:09,90.0
01-01-2015 10:30,494.95
01-01-2015 11:12,596.25
01-01-2015 11:33,278.98
01-01-2015 11:54,124.79
01-01-2015 12:15,734.46
01-01-2015 12:36,137.75
01-01-2015 12:57,321.56
01-01-2015 13:18,185.99
01-01-2015 14:00,276.14
01-01-2015 14:21,646.13
01-01-2015 14:42,493.06
01-01-2015 15:03,371.98
01-01-2015 15:24,451.86
01-01-2015 15:45,217.35
01-01-2015 16:27,84.46
01-01-2015 16:49,530.65
01-01-2015 17:10,420.97
01-01-2015 17:31,418.98
01-01-2015 17:52,371.11
01-01-2015 19:16,656.9
01-01-2015 19:37,554.88
01-01-2015 19:58,733.04
01-01-2015 20:19,592.15
01-01-2015 21:01,617.92
01-01-2015 21:22,1113.94
01-01-2015 21:43,878.92
01-01-2015 22:04,583.27
01-01-2015 22:25,224.99
01-01-2015 22:46,573.24
01-01-2015 23:07,127.5
01-01-2015 23:28,245.98
01-01-2015 23:49,208.77
01-01-2016 00:00,624.06
01-01-2016 00:21,99.5
01-01-2016 00:42,1030.65
01-01-2016 01:03,974.32
01-01-2016 01:24,584.27
01-01-2016 01:46,395.98
01-01-2016 02:07,386.47
01-01-2016 02:28,1238.51
01-01-2016 03:10,541.51
01-01-2016 03:52,954.56
01-01-2016 04:13,662.91
01-01-2016 04:34,344.5
01-01-2016 04:55,250.0
01-01-2016 05:16,82.97
01-01-2016 05:37,632.25
01-01-2016 05:58,540.34
01-01-2016 06:19,518.93
01-01-2016 07:01,568.61
01-01-2016 07:22,877.93
01-01-2016 07:43,589.67
01-01-2016 08:04,44.99
01-01-2016 08:25,103.99
01-01-2016 08:46,1046.81
01-01-2016 09:07,47.99
01-01-2016 09:28,283.48
01-01-2016 09:49,167.99
01-01-2016 10:10,284.98
01-01-2016 10:31,218.19
01-01-2016 10:52,537.91
01-01-2016 11:34,819.54
01-01-2016 11:55,291.07
01-01-2016 12:16,206.68
01-01-2016 12:37,214.22
01-01-2016 12:58,623.38
01-01-2016 13:19,505.97
01-01-2016 13:40,173.99
01-01-2016 14:22,156.37
01-01-2016 15:04,446.4
01-01-2016 15:25,271.83
01-01-2016 15:46,512.45
01-01-2016 16:07,687.96
01-01-2016 16:28,262.96
01-01-2016 17:10,325.71
01-01-2016 17:31,239.17
01-01-2016 17:52,407.94
01-01-2016 18:13,324.96
01-01-2016 18:34,293.98
01-01-2016 18:56,129.46
01-01-2016 19:17,999.46
01-01-2016 19:38,1304.33
01-01-2016 19:59,711.96
01-01-2016 20:20,546.11
01-01-2016 20:41,942.29
01-01-2016 21:02,993.88
01-01-2016 21:23,496.22
01-01-2016 21:44,810.58
01-01-2016 22:05,111.33
01-01-2016 22:26,392.8
01-01-2016 22:47,151.88
01-01-2016 23:08,315.46
01-01-2016 23:29,230.38
01-01-2016 23:50,312.87
01-01-2017 00:33,633.9
01-01-2017 00:54,519.77
01-01-2017 01:36,940.74
01-01-2017 01:57,451.09
01-01-2017 02:39,468.95
01-01-2017 03:21,1075.25
01-01-2017 03:42,923.91
01-01-2017 04:03,541.44
01-01-2017 04:24,706.33
01-01-2017 04:45,270.5
01-01-2017 05:06,50.99
01-01-2017 05:27,563.95
01-01-2017 06:09,365.46
01-01-2017 06:30,714.94
01-01-2017 06:51,734.96
01-01-2017 07:54,165.99
01-01-2017 08:15,224.05
01-01-2017 09:18,503.14
01-01-2017 09:39,200.0
01-01-2017 10:21,560.36
01-01-2017 10:42,879.32
01-01-2017 11:03,107.89
01-01-2017 11:24,364.46
01-01-2017 11:45,494.98
01-01-2017 12:06,207.42
01-01-2017 12:48,860.93
01-01-2017 13:31,766.38
01-01-2017 14:13,741.42
01-01-2017 15:16,498.15
01-01-2017 15:37,714.29
01-01-2017 15:58,76.77
01-01-2017 16:19,757.93
01-01-2017 16:40,792.19
01-01-2017 17:22,1026.87
01-01-2017 17:43,272.95
01-01-2017 18:04,631.25
01-01-2017 19:07,158.67
01-01-2017 19:28,1400.38
01-01-2017 19:49,48.0
01-01-2017 21:13,960.73
01-01-2017 21:34,902.86
01-01-2017 21:55,624.24
01-01-2017 22:16,284.98
01-01-2017 22:37,781.42
01-01-2017 22:58,408.64
01-01-2017 23:19,700.78
01-01-2017 23:40,347.98
01-01-2018 00:13,138.08
01-01-2018 00:34,139.72
01-01-2018 00:55,143.01
01-01-2018 01:16,144.65
01-01-2018 01:37,147.94
01-01-2018 01:58,149.59
01-01-2018 02:19,152.87
01-01-2018 02:40,505.95
01-01-2018 03:01,511.28
01-01-2018 03:22,516.6
01-01-2018 03:43,521.93
01-01-2018 04:04,527.25
01-01-2018 04:25,532.58
01-01-2018 04:46,399.44
01-01-2018 05:07,426.06
01-01-2018 05:28,436.72
01-01-2018 05:49,442.04
01-01-2018 06:10,447.37
01-01-2018 06:31,452.69
01-01-2018 06:52,463.34
01-01-2018 07:13,468.67
01-01-2018 07:34,479.32
01-01-2018 07:55,484.65
01-01-2018 08:16,495.3
01-01-2018 08:37,503.29
01-01-2018 08:58,505.95
01-01-2018 09:19,511.28
01-01-2018 09:40,516.6
01-01-2018 10:01,521.93
01-01-2018 10:22,527.25
01-01-2018 10:43,532.58
01-01-2018 11:04,399.44
01-01-2018 11:25,426.06
01-01-2018 11:46,436.72
01-01-2018 12:07,442.04
01-01-2018 12:28,447.37
01-01-2018 12:49,452.69
01-01-2018 13:10,463.34
01-01-2018 13:31,468.67
01-01-2018 13:52,479.32
01-01-2018 14:13,484.65
01-01-2018 14:34,495.3
01-01-2018 14:55,503.29
01-01-2018 15:17,505.95
01-01-2018 15:38,511.28
01-01-2018 15:59,516.6
01-01-2018 16:20,521.93
01-01-2018 16:41,527.25
01-01-2018 17:02,532.58
01-01-2018 17:23,399.44
01-01-2018 17:44,426.06
01-01-2018 18:05,436.72
01-01-2018 18:26,442.04
01-01-2018 18:47,447.37
01-01-2018 19:08,452.69
01-01-2018 19:29,463.34
01-01-2018 19:50,468.67
01-01-2018 20:11,479.32
01-01-2018 20:32,484.65
01-01-2018 20:53,495.3
01-01-2018 21:14,503.29
01-01-2018 21:35,505.95
01-01-2018 21:56,511.28
01-01-2018 22:17,516.6
01-01-2018 22:38,521.93
01-01-2018 22:59,527.25
01-01-2018 23:20,532.58
01-01-2018 23:41,399.44
01-02-2015 00:10,552.16
01-02-2015 00:31,653.52
01-02-2015 00:52,449.44
01-02-2015 01:13,1218.16
01-02-2015 01:34,89.99
01-02-2015 01:55,730.57
01-02-2015 02:37,635.3
01-02-2015 04:01,576.25
01-02-2015 04:43,197.99
01-02-2015 05:04,1224.9
01-02-2015 06:07,113.97
01-02-2015 06:28,254.74
01-02-2015 07:31,574.94
01-02-2015 07:52,179.93
01-02-2015 08:13,94.46
01-02-2015 08:34,649.11
01-02-2015 08:55,175.96
01-02-2015 09:16,469.78
01-02-2015 09:37,93.71
01-02-2015 09:59,217.99
01-02-2015 10:20,889.94
01-02-2015 10:41,511.74
01-02-2015 11:02,763.94
01-02-2015 11:44,719.03
01-02-2015 12:05,489.75
01-02-2015 12:26,384.84
01-02-2015 12:47,84.99
01-02-2015 13:08,984.55
01-02-2015 14:11,513.38
01-02-2015 14:32,244.9
01-02-2015 14:53,853.08
01-02-2015 15:14,571.57
01-02-2015 15:35,218.36
01-02-2015 15:56,562.46
01-02-2015 16:17,739.41
01-02-2015 16:38,673.39
01-02-2015 16:59,255.58
